platform,brand,legalEntity,comuna,project,pepCode,amount
Meta,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Indico,I-ALM-1453,483182
Google Ads,Socovesa,Socovesa Sur S.A,Punta Arenas,Reserva Magallanes,I-SUR-2323,460844
Google Ads,Almagro Inmobiliaria,Almagro S.A,Santiago,San Eugenio 2,I-ALM-2227,452558
Google Ads,Almagro Inmobiliaria,Almagro S.A,Santiago,Carrera 4,I-ALM-2275,447285
Google Ads,Socovesa,Socovesa Sur S.A,Temuco,Icono,I-SUR-2346,440866
Google Ads,Socovesa,Socovesa Sur S.A,Temuco,O3,I-SUR-2373,440866
Google Ads,Socovesa,Socovesa Sur S.A,Temuco,Origen,I-SUR-2346,440866
Meta,Socovesa,Socovesa Sur S.A,Chillán,PDL,I-SUR-2372,431634
Meta,Socovesa,Socovesa Sur S.A,Puerto Montt,Portal Austral,I-SUR-2340,427321
Meta,Socovesa,Socovesa Sur S.A,Temuco,N3,I-SUR-2331,426528
Meta,Socovesa,Socovesa Sur S.A,Valdivia,García Reyes,I-SUR-2283,421752
