platform,brand,legalEntity,comuna,project,pepCode,amount
Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Almagro Plus,I-ALM-2234,125015
Google Ads,Almagro Inmobiliaria,Arcilla Roja,Genérico,Almagro Hub,I-ALM-2189,125015
Google Ads,Almagro Inmobiliaria,Madagascar,Genérico,Almagro District,I-ALM-2399,125015
Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Balance,I-ALM-2358,125014
Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Carrera 4,I-ALM-2275,125014
Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Indico,I-ALM-1453,125014
Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Insigne,I-ALM-2157,125014
Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Los Cactus,I-ALM-2342,125014
Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Lyon Bilbao,I-ALM-2211,125014
Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Parque Brasil,I-ALM-2285,125014
Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,San Eugenio 2,I-ALM-2227,125014
Google Ads,Almagro Inmobiliaria,Arcilla Roja,Genérico,PLP 1,I-ALM-2226,125014
Google Ads,Almagro Inmobiliaria,Arcilla Roja,Genérico,PLP 2,I-ALM-2306,125014
Google Ads,Almagro Inmobiliaria,Arcilla Roja,Genérico,Rengo,I-ALM-2288,125014
Google Ads,Almagro Propiedades,Almagro S.A,Propiedades,Insigne,I-ALM-2157,113528
Google Ads,Almagro Propiedades,Arcilla Roja,Propiedades,Almagro Hub,I-ALM-2189,113383
Google Ads,Almagro Propiedades,Madagascar,Propiedades,Almagro District,I-ALM-2399,113383
Google Ads,Almagro Propiedades,Almagro S.A,Propiedades,Balance,I-ALM-2358,113382
Google Ads,Almagro Propiedades,Almagro S.A,Propiedades,Carrera 4,I-ALM-2275,113382
Google Ads,Almagro Propiedades,Almagro S.A,Propiedades,Indico,I-ALM-1453,113381
Google Ads,Almagro Propiedades,Almagro S.A,Propiedades,Los Cactus,I-ALM-2342,113381
Google Ads,Almagro Propiedades,Almagro S.A,Propiedades,Lyon Bilbao,I-ALM-2211,113381
Google Ads,Almagro Propiedades,Almagro S.A,Propiedades,Parque Brasil,I-ALM-2285,113380
Google Ads,Almagro Propiedades,Arcilla Roja,Propiedades,PLP 1,I-ALM-2226,113380
Google Ads,Almagro Propiedades,Arcilla Roja,Propiedades,PLP 2,I-ALM-2306,113380
Google Ads,Almagro Propiedades,Arcilla Roja,Propiedades,Rengo,I-ALM-2288,113380
Google Ads,Almagro Propiedades,Almagro S.A,Propiedades,San Eugenio 2,I-ALM-2227,113379
Meta,Pilares,Pilares S.A,La Florida,Vicuña Mackenna 7244,I-SVS-2131,104498
Meta,Pilares,ICSA,Santiago Centro,Edificio Ñuble,I-SVS-2173,102645
Meta,Pilares,Pilares S.A,La Florida,Rodriguez Velasco,I-SVS-2289,102588
Meta,Pilares,ICSA,La Cisterna,Lo Ovalle,I-SVS-2296,101873
Meta,Pilares,Pilares S.A,Ñuñoa,Guillermo Mann,I-SVS-2250,101778
Google Ads,Almagro Propiedades,Almagro S.A,Propiedades,Almagro Plus,I-ALM-2234,98974
