month,platform,brand,legalEntity,comuna,project,pepCode,campaignName,amount,invoiceId,invoiceDate,paymentDate,paymentReference,referenceId,referenceType,chargeAmountValidation,matched,mappingBrand,cartolaMatchStatus
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Indico,I-ALM-1453,Norte | AO S | Por Comuna | Antofagasta,2179183,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,Indico,I-ALM-1453,Santiago | AO S | Inversionistas 2,51984,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Indico,I-ALM-1453,Santiago | AO S | Tudeptoestupie,71170,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Santiago,Insigne,I-ALM-2157,Costos operativos regulatorios de España,687,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Santiago,Insigne,I-ALM-2157,Costos operativos regulatorios de Francia,103,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Santiago,Insigne,I-ALM-2157,Costos operativos regulatorios de Italia,157,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Insigne,I-ALM-2157,Nacional | AO S | Por Categoria | Always On,105233,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,Insigne,I-ALM-2157,Santiago | AO S | Inversionistas 2,51983,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Macul,Insigne,I-ALM-2157,Santiago | AO S | Por Comuna | Macul | 2,1459616,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Insigne,I-ALM-2157,Santiago | AO S | Tudeptoestupie,71169,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Macul,Insigne,I-ALM-2157,Santiago | MR | Insigne,534717,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Macul,Insigne,I-ALM-2157,Santiago | MR | Insigne,16238,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Santiago,Insigne,I-ALM-2157,Tarifa del impuesto a los servicios digitales de Austria,36,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Santiago,Insigne,I-ALM-2157,Tarifa del impuesto a los servicios digitales del Reino Unido,348,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Los Cactus,I-ALM-2342,Nacional | AO S | Por Categoria | Always On,105233,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,Los Cactus,I-ALM-2342,Santiago | AO S | Inversionistas 2,51983,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
