month,platform,brand,legalEntity,comuna,project,pepCode,campaignName,amount,invoiceId,invoiceDate,paymentDate,paymentReference,referenceId,referenceType,chargeAmountValidation,matched,mappingBrand,cartolaMatchStatus
2026-08,Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Almagro Plus,I-ALM-2234,Nacional | AO S | Por Categoria | Always On,125015,5684413120,2026-08-31,2026-08-31,,5684413120,invoiceNumber,Sin match,True,Almagro,Pendiente cartola TC agosto completa
2026-08,Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,Almagro Plus,I-ALM-2234,Santiago | AO S | Inversionistas 2,60836,5684413120,2026-08-31,2026-08-31,,5684413120,invoiceNumber,Sin match,True,Almagro,Pendiente cartola TC agosto completa
2026-08,Google Ads,Almagro Inmobiliaria,Almagro S.A,Ñuñoa,Almagro Plus,I-ALM-2234,Santiago | AO S | Por Comuna | Nunoa #2,1171237,5684413120,2026-08-31,2026-08-31,,5684413120,invoiceNumber,Sin match,True,Almagro,Pendiente cartola TC agosto completa
2026-08,Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Almagro Plus,I-ALM-2234,Santiago | AO S | Tudeptoestupie,69515,5684413120,2026-08-31,2026-08-31,,5684413120,invoiceNumber,Sin match,True,Almagro,Pendiente cartola TC agosto completa
2026-08,Google Ads,Almagro Inmobiliaria,Almagro S.A,Ñuñoa,Almagro Plus,I-ALM-2234,Santiago | MR | Plus,444369,5684413120,2026-08-31,2026-08-31,,5684413120,invoiceNumber,Sin match,True,Almagro,Pendiente cartola TC agosto completa
2026-08,Google Ads,Almagro Inmobiliaria,Almagro S.A,Ñuñoa,Almagro Plus,I-ALM-2234,Santiago | MR | Plus,6890,5684413120,2026-08-31,2026-08-31,,5684413120,invoiceNumber,Sin match,True,Almagro,Pendiente cartola TC agosto completa
2026-08,Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Balance,I-ALM-2358,Nacional | AO S | Por Categoria | Always On,125014,5684413120,2026-08-31,2026-08-31,,5684413120,invoiceNumber,Sin match,True,Almagro,Pendiente cartola TC agosto completa
2026-08,Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,Balance,I-ALM-2358,Santiago | AO S | Inversionistas 2,60836,5684413120,2026-08-31,2026-08-31,,5684413120,invoiceNumber,Sin match,True,Almagro,Pendiente cartola TC agosto completa
2026-08,Google Ads,Almagro Inmobiliaria,Almagro S.A,Providencia,Balance,I-ALM-2358,Santiago | AO S | Por Comuna | Providencia,831624,5684413120,2026-08-31,2026-08-31,,5684413120,invoiceNumber,Sin match,True,Almagro,Pendiente cartola TC agosto completa
2026-08,Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Balance,I-ALM-2358,Santiago | AO S | Tudeptoestupie,69515,5684413120,2026-08-31,2026-08-31,,5684413120,invoiceNumber,Sin match,True,Almagro,Pendiente cartola TC agosto completa
