platform,brand,legalEntity,comuna,project,pepCode,amount
Meta,Almagro Inmobiliaria,Arcilla Roja,PPP,Rengo,I-ALM-2288,73186
Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Almagro Plus,I-ALM-2234,69116
Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Balance,I-ALM-2358,69116
Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Carrera 4,I-ALM-2275,69116
Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Indico,I-ALM-1453,69116
Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Insigne,I-ALM-2157,69116
Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Los Cactus,I-ALM-2342,69116
Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Lyon Bilbao,I-ALM-2211,69116
Google Ads,Almagro Inmobiliaria,Arcilla Roja,PPP,Almagro Hub,I-ALM-2189,69116
Google Ads,Almagro Inmobiliaria,Arcilla Roja,PPP,PLP 1,I-ALM-2226,69116
Google Ads,Almagro Inmobiliaria,Madagascar,PPP,Almagro District,I-ALM-2399,69116
Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Parque Brasil,I-ALM-2285,69115
Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,San Eugenio 2,I-ALM-2227,69115
Google Ads,Almagro Inmobiliaria,Arcilla Roja,PPP,PLP 2,I-ALM-2306,69115
Google Ads,Almagro Inmobiliaria,Arcilla Roja,PPP,Rengo,I-ALM-2288,69115
Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,Almagro Plus,I-ALM-2234,57735
