platform,brand,legalEntity,comuna,project,pepCode,amount
Meta,Almagro Inmobiliaria,Arcilla Roja,Blog,Almagro Hub,I-ALM-2189,7807
Meta,Almagro Inmobiliaria,Almagro S.A,Blog,Los Cactus,I-ALM-2342,7806
Meta,Almagro Inmobiliaria,Almagro S.A,Blog,Lyon Bilbao,I-ALM-2211,7806
Meta,Almagro Inmobiliaria,Arcilla Roja,Blog,PLP 1,I-ALM-2226,7806
Meta,Almagro Inmobiliaria,Arcilla Roja,Blog,PLP 2,I-ALM-2306,7806
Meta,Almagro Inmobiliaria,Almagro S.A,Blog,Parque Brasil,I-ALM-2285,7805
Meta,Almagro Inmobiliaria,Almagro S.A,Blog,San Eugenio 2,I-ALM-2227,7805
Meta,Almagro Inmobiliaria,Arcilla Roja,Blog,Rengo,I-ALM-2288,7805
Google Ads,Pilares,Pilares S.A,AON,Guillermo Mann,I-SVS-2250,267
Meta,Socovesa,Consorcio Inmobiliario Macul,AON,Las Palmas,I-STG-2205,150
Meta,Socovesa,Sociedad Comercializadora Metropolitana,AON,Coipue,I-STG-2229,150
